day,mode,avg_r,review_count,stubborn_count,avg_s,avg_d
1,fsrs_only,0.900000,200,0,1.7306,5.0915
2,fsrs_only,0.928504,27,0,1.7897,5.1018
3,fsrs_only,0.889204,18,0,1.8281,5.1080
4,fsrs_only,0.855391,25,0,1.8984,5.1193
5,fsrs_only,0.824709,169,0,3.0123,5.1966
6,fsrs_only,0.940061,19,0,3.0710,5.2031
7,fsrs_only,0.918084,36,0,3.2048,5.2134
8,fsrs_only,0.910140,23,0,3.3744,5.2212
9,fsrs_only,0.894899,23,0,3.4712,5.2252
10,fsrs_only,0.886243,6,0,3.4885,5.2269
11,fsrs_only,0.861719,37,0,3.8464,5.2337
12,fsrs_only,0.865924,135,0,5.5644,5.2892
13,fsrs_only,0.956188,9,0,5.6023,5.2918
14,fsrs_only,0.941715,7,0,5.6630,5.2929
1,fsrs_df_full,0.900000,200,0,2.2416,5.0915
2,fsrs_df_full,0.943304,2,0,2.2405,5.0937
3,fsrs_df_full,0.892023,39,1,2.3385,5.1062
4,fsrs_df_full,0.890062,6,1,2.3504,5.1066
5,fsrs_df_full,0.853055,9,1,2.4847,5.1095
6,fsrs_df_full,0.820663,191,1,5.4345,5.1973
7,fsrs_df_full,0.968986,3,1,5.4411,5.1972
8,fsrs_df_full,0.944395,10,1,5.4786,5.2000
9,fsrs_df_full,0.928111,10,1,5.5268,5.2016
10,fsrs_df_full,0.912613,35,1,5.8595,5.2129
11,fsrs_df_full,0.921151,26,1,6.2376,5.2186
12,fsrs_df_full,0.923012,10,1,6.4168,5.2207
13,fsrs_df_full,0.913002,11,1,6.4922,5.2220
14,fsrs_df_full,0.906472,2,1,6.5259,5.2221
1,fsrs_df_rt_only,0.900000,200,0,2.2416,5.0915
2,fsrs_df_rt_only,0.943304,2,0,2.2416,5.0937
3,fsrs_df_rt_only,0.892330,38,1,2.4400,5.1062
4,fsrs_df_rt_only,0.893706,2,1,2.4496,5.1063
5,fsrs_df_rt_only,0.856146,11,1,2.5917,5.1091
6,fsrs_df_rt_only,0.830963,162,1,5.1166,5.1794
7,fsrs_df_rt_only,0.952150,28,1,5.3255,5.1955
8,fsrs_df_rt_only,0.952202,4,1,5.3489,5.1972
9,fsrs_df_rt_only,0.931096,9,1,5.4461,5.1998
10,fsrs_df_rt_only,0.915704,37,1,5.8537,5.2108
11,fsrs_df_rt_only,0.929727,5,1,5.9103,5.2107
12,fsrs_df_rt_only,0.915767,1,1,5.9189,5.2106
13,fsrs_df_rt_only,0.898771,9,4,5.9809,5.2158
14,fsrs_df_rt_only,0.888749,5,4,6.1719,5.2165
1,fsrs_df_acc_only,0.900000,200,0,1.7306,5.0915
2,fsrs_df_acc_only,0.928504,27,0,1.7522,5.1018
3,fsrs_df_acc_only,0.885630,18,0,1.7649,5.1080
4,fsrs_df_acc_only,0.846582,25,0,1.7953,5.1193
5,fsrs_df_acc_only,0.816177,184,0,3.1239,5.2054
6,fsrs_df_acc_only,0.943676,9,0,3.1305,5.2077
7,fsrs_df_acc_only,0.906916,27,0,3.1888,5.2170
8,fsrs_df_acc_only,0.890828,57,0,3.3462,5.2356
9,fsrs_df_acc_only,0.906959,12,0,3.3708,5.2374
10,fsrs_df_acc_only,0.880417,24,0,3.4246,5.2434
11,fsrs_df_acc_only,0.869541,9,1,3.4438,5.2435
12,fsrs_df_acc_only,0.844181,168,1,5.9235,5.3094
13,fsrs_df_acc_only,0.950580,27,1,6.1110,5.3150
14,fsrs_df_acc_only,0.946953,15,1,6.1468,5.3166
